,Chin,Nose,RightEye1,RightEye2,LeftEye1,LeftEye2,MouthRight,MouthTop,MouthLeft,MouthBottom,Label
0,21148.0,16575.0,13049.0,13629.0,15725.0,17522.0,13938.0,14958.0,17522.0,16575.0,Real_Face
1,6524.0,8401.0,9154.0,8761.0,9154.0,8518.0,7301.0,7965.0,7571.0,6814.0,Real_Face
2,641.0,550.0,602.0,599.0,571.0,576.0,572.0,558.0,566.0,574.0,Real_Face
3,558.0,549.0,609.0,605.0,580.0,581.0,556.0,544.0,539.0,547.0,Real_Face
4,863.0,836.0,897.0,879.0,829.0,830.0,895.0,858.0,894.0,872.0,Real_Face
5,624.0,520.0,556.0,561.0,557.0,564.0,522.0,518.0,526.0,515.0,Real_Face
6,34071.0,606.0,636.0,623.0,13629.0,15725.0,585.0,611.0,38330.0,595.0,Real_Face
7,531.0,552.0,539.0,537.0,572.0,579.0,541.0,546.0,548.0,537.0,Real_Face
8,560.0,548.0,617.0,611.0,596.0,605.0,559.0,545.0,590.0,560.0,Real_Face
9,549.0,529.0,573.0,576.0,572.0,582.0,536.0,524.0,567.0,546.0,Real_Face
10,720.0,576.0,562.0,556.0,629.0,9583.0,542.0,568.0,51107.0,552.0,Real_Face
11,620.0,519.0,548.0,550.0,553.0,562.0,510.0,508.0,517.0,510.0,Real_Face
12,529.0,30664.0,485.0,481.0,19165.0,16575.0,460.0,43806.0,51107.0,580.0,Real_Face
13,805.0,667.0,660.0,652.0,767.0,15725.0,637.0,663.0,22714.0,646.0,Real_Face
14,1097.0,1010.0,1004.0,997.0,1029.0,1056.0,1004.0,1010.0,1020.0,1024.0,Real_Face
15,866.0,877.0,9292.0,7863.0,7666.0,7666.0,855.0,880.0,879.0,853.0,Real_Face
16,8070.0,7965.0,7131.0,7666.0,8177.0,8177.0,7666.0,7863.0,10952.0,9019.0,Real_Face
17,10952.0,8288.0,7479.0,7863.0,7571.0,7863.0,8638.0,9435.0,10221.0,9583.0,Real_Face
18,840.0,792.0,922.0,872.0,829.0,833.0,818.0,783.0,781.0,807.0,Real_Face
19,728.0,32278.0,560.0,572.0,18038.0,24531.0,613.0,15725.0,770.0,742.0,Real_Face
20,690.0,559.0,636.0,610.0,604.0,608.0,575.0,563.0,576.0,574.0,Real_Face
21,736.0,685.0,763.0,759.0,741.0,741.0,709.0,688.0,682.0,697.0,Real_Face
22,981.0,957.0,1076.0,1038.0,986.0,988.0,1000.0,960.0,991.0,1004.0,Real_Face
23,705.0,572.0,628.0,601.0,630.0,657.0,562.0,566.0,568.0,555.0,Real_Face
24,707.0,566.0,629.0,604.0,607.0,616.0,584.0,575.0,591.0,585.0,Real_Face
25,684.0,584.0,547.0,541.0,586.0,18038.0,563.0,584.0,712.0,578.0,Real_Face
26,701.0,25554.0,539.0,553.0,43806.0,26665.0,562.0,21903.0,14262.0,728.0,Real_Face
27,668.0,513.0,557.0,540.0,552.0,573.0,522.0,522.0,540.0,523.0,Real_Face
28,722.0,608.0,681.0,655.0,637.0,646.0,628.0,615.0,626.0,631.0,Real_Face
29,5786.0,7131.0,4829.0,6323.0,870.0,866.0,5786.0,5732.0,6388.0,5242.0,Real_Face
30,723.0,664.0,741.0,700.0,709.0,726.0,661.0,660.0,664.0,653.0,Real_Face
31,690.0,609.0,708.0,669.0,640.0,646.0,633.0,616.0,618.0,626.0,Real_Face
32,663.0,621.0,720.0,676.0,657.0,665.0,627.0,618.0,625.0,619.0,Real_Face
33,774.0,667.0,695.0,674.0,733.0,18584.0,638.0,659.0,672.0,636.0,Real_Face
34,808.0,716.0,698.0,694.0,20443.0,19165.0,659.0,695.0,21148.0,659.0,Real_Face
35,641.0,573.0,657.0,638.0,608.0,613.0,588.0,572.0,574.0,575.0,Real_Face
36,715.0,632.0,711.0,662.0,679.0,693.0,630.0,626.0,636.0,626.0,Real_Face
37,654.0,630.0,695.0,690.0,667.0,672.0,628.0,619.0,615.0,613.0,Real_Face
38,643.0,548.0,630.0,582.0,577.0,590.0,559.0,549.0,556.0,549.0,Real_Face
39,638.0,579.0,648.0,610.0,612.0,622.0,575.0,570.0,568.0,564.0,Real_Face
40,637.0,566.0,652.0,594.0,590.0,599.0,576.0,563.0,567.0,569.0,Real_Face
41,651.0,564.0,638.0,590.0,593.0,604.0,572.0,561.0,568.0,565.0,Real_Face
42,575.0,556.0,639.0,630.0,586.0,592.0,553.0,547.0,544.0,541.0,Real_Face
43,749.0,646.0,691.0,665.0,699.0,711.0,629.0,638.0,652.0,628.0,Real_Face
44,692.0,598.0,632.0,614.0,647.0,664.0,580.0,588.0,601.0,576.0,Real_Face
45,622.0,572.0,630.0,617.0,616.0,629.0,555.0,564.0,563.0,553.0,Real_Face
46,611.0,539.0,610.0,571.0,565.0,573.0,543.0,534.0,538.0,541.0,Real_Face
47,715.0,589.0,610.0,594.0,640.0,676.0,576.0,587.0,24531.0,576.0,Real_Face
48,587.0,562.0,642.0,616.0,594.0,602.0,565.0,555.0,554.0,551.0,Real_Face
49,705.0,688.0,766.0,752.0,734.0,742.0,693.0,682.0,681.0,678.0,Real_Face
50,580.0,527.0,592.0,588.0,553.0,557.0,539.0,520.0,518.0,519.0,Real_Face
51,638.0,516.0,516.0,507.0,10574.0,16139.0,491.0,518.0,18584.0,501.0,Real_Face
52,20443.0,634.0,652.0,656.0,13049.0,12266.0,595.0,623.0,643.0,603.0,Real_Face
53,608.0,516.0,576.0,543.0,558.0,567.0,516.0,513.0,520.0,511.0,Real_Face
54,767.0,712.0,774.0,747.0,769.0,777.0,706.0,710.0,707.0,691.0,Real_Face
55,681.0,565.0,605.0,582.0,614.0,628.0,551.0,560.0,571.0,550.0,Real_Face
56,636.0,567.0,636.0,595.0,605.0,616.0,560.0,561.0,563.0,554.0,Real_Face
57,619.0,481.0,513.0,495.0,546.0,563.0,468.0,479.0,500.0,469.0,Real_Face
58,881.0,844.0,931.0,897.0,875.0,865.0,877.0,842.0,849.0,893.0,Real_Face
59,613.0,573.0,615.0,616.0,597.0,606.0,565.0,575.0,573.0,570.0,Real_Face
60,707.0,625.0,662.0,640.0,681.0,686.0,611.0,621.0,630.0,608.0,Real_Face
61,659.0,22714.0,536.0,531.0,13049.0,16139.0,522.0,29204.0,40886.0,543.0,Real_Face
62,734.0,18584.0,600.0,599.0,15332.0,15725.0,596.0,34071.0,65535.0,18584.0,Real_Face
63,716.0,587.0,614.0,597.0,638.0,668.0,567.0,584.0,599.0,569.0,Real_Face
64,991.0,958.0,1078.0,1029.0,1014.0,1010.0,975.0,981.0,958.0,969.0,Real_Face
65,986.0,939.0,1005.0,980.0,983.0,977.0,948.0,931.0,938.0,935.0,Real_Face
66,981.0,941.0,989.0,966.0,978.0,1000.0,926.0,932.0,941.0,925.0,Real_Face
67,19165.0,22714.0,714.0,717.0,19165.0,21903.0,696.0,26665.0,23588.0,36076.0,Real_Face
68,19783.0,699.0,659.0,655.0,13629.0,17522.0,642.0,711.0,38330.0,648.0,Real_Face
69,794.0,656.0,675.0,667.0,712.0,10952.0,647.0,662.0,32278.0,667.0,Real_Face
