,Chin,Nose,RightEye1,RightEye2,LeftEye1,LeftEye2,MouthRight,MouthTop,MouthLeft,MouthBottom,Label
0,255.0,261.0,265.0,264.0,262.0,260.0,261.0,260.0,260.0,260.0,Photo
1,333.0,336.0,339.0,339.0,339.0,338.0,335.0,334.0,334.0,333.0,Photo
2,353.0,358.0,361.0,359.0,358.0,356.0,357.0,358.0,357.0,357.0,Photo
3,8761.0,9019.0,8888.0,8761.0,9292.0,9154.0,280.0,9019.0,8518.0,284.0,Photo
4,308.0,314.0,320.0,318.0,311.0,306.0,314.0,313.0,313.0,312.0,Photo
5,9583.0,9583.0,257.0,256.0,9892.0,10395.0,9154.0,9583.0,9583.0,9292.0,Photo
6,228.0,230.0,233.0,232.0,232.0,232.0,229.0,230.0,229.0,229.0,Photo
7,192.0,191.0,189.0,190.0,192.0,192.0,190.0,191.0,193.0,191.0,Photo
8,166.0,166.0,165.0,165.0,166.0,166.0,165.0,166.0,166.0,166.0,Photo
9,286.0,211.0,211.0,211.0,209.0,210.0,210.0,211.0,250.0,209.0,Photo
10,9583.0,9583.0,8638.0,9292.0,9892.0,10054.0,273.0,9892.0,9892.0,271.0,Photo
11,19165.0,12777.0,9892.0,10574.0,10221.0,10574.0,13938.0,14602.0,14262.0,12777.0,Photo
12,267.0,252.0,266.0,266.0,9435.0,9583.0,261.0,252.0,254.0,258.0,Photo
13,234.0,232.0,231.0,231.0,235.0,235.0,231.0,231.0,233.0,230.0,Photo
14,191.0,197.0,197.0,196.0,189.0,189.0,195.0,197.0,212.0,194.0,Photo
15,215.0,201.0,188.0,189.0,183.0,10054.0,185.0,205.0,208.0,184.0,Photo
16,223.0,208.0,200.0,200.0,9583.0,9892.0,198.0,212.0,217.0,197.0,Photo
17,279.0,255.0,262.0,262.0,9154.0,9435.0,261.0,258.0,267.0,271.0,Photo
18,268.0,241.0,242.0,241.0,9435.0,9583.0,250.0,250.0,258.0,260.0,Photo
19,240.0,243.0,241.0,242.0,241.0,243.0,241.0,243.0,242.0,241.0,Photo
20,9735.0,9892.0,221.0,220.0,10221.0,10395.0,8761.0,9892.0,10054.0,9735.0,Photo
21,188.0,191.0,194.0,194.0,191.0,190.0,192.0,190.0,190.0,191.0,Photo
22,179.0,182.0,183.0,182.0,182.0,181.0,181.0,180.0,179.0,180.0,Photo
23,175.0,173.0,174.0,174.0,176.0,176.0,172.0,173.0,174.0,173.0,Photo
24,274.0,281.0,282.0,281.0,274.0,276.0,278.0,281.0,280.0,277.0,Photo
25,305.0,311.0,314.0,314.0,8070.0,8401.0,318.0,311.0,309.0,315.0,Photo
26,348.0,356.0,355.0,354.0,355.0,353.0,352.0,355.0,352.0,352.0,Photo
27,359.0,362.0,365.0,365.0,362.0,363.0,361.0,361.0,360.0,361.0,Photo
28,335.0,340.0,341.0,341.0,341.0,340.0,339.0,338.0,336.0,339.0,Photo
29,292.0,295.0,291.0,291.0,9292.0,9019.0,294.0,294.0,296.0,292.0,Photo
30,252.0,252.0,251.0,253.0,9154.0,9019.0,252.0,252.0,254.0,250.0,Photo
31,233.0,231.0,227.0,227.0,223.0,223.0,230.0,232.0,233.0,232.0,Photo
32,195.0,196.0,193.0,193.0,197.0,196.0,194.0,196.0,196.0,194.0,Photo
33,224.0,224.0,222.0,222.0,228.0,228.0,221.0,223.0,223.0,222.0,Photo
34,422.0,530.0,177.0,174.0,536.0,527.0,184.0,509.0,478.0,187.0,Photo
35,216.0,213.0,208.0,208.0,214.0,215.0,212.0,213.0,215.0,213.0,Photo
36,206.0,203.0,197.0,198.0,204.0,205.0,201.0,204.0,205.0,203.0,Photo
